ipa	syllabic	consonantal	approximant	sonorant	continuant	delayed_release	trill	tap	front	back	high	low	long	nasal	stress	tense	labial	coronal	dorsal	anterior	distributed	strident	lateral	round	labiodental	voice	spread glottis	constricted glottis	diphthong	front-diphthong	segment
ɸ	-	+	-	-	+	+	-	-	0	0	0	0	-	-	-	0	+	-	-	0	0	0	-	-	-	-	-	-	0	0	+
pf	-	+	-	-	-	+	-	-	0	0	0	0	-	-	-	0	+	-	-	0	0	0	-	-	+	-	-	-	0	0	+
p͡f	-	+	-	-	-	+	-	-	0	0	0	0	-	-	-	0	+	-	-	0	0	0	-	-	+	-	-	-	0	0	+
pʰ	-	+	-	-	-	-	-	-	0	0	0	0	-	-	-	0	+	-	-	0	0	0	-	-	-	-	+	-	0	0	+
pɸ	-	+	-	-	-	+	-	-	0	0	0	0	-	-	-	0	+	-	-	0	0	0	-	-	-	-	-	-	0	0	+
p͡ɸ	-	+	-	-	-	+	-	-	0	0	0	0	-	-	-	0	+	-	-	0	0	0	-	-	-	-	-	-	0	0	+
pt	-	+	-	-	-	-	-	-	0	0	0	0	-	-	-	0	+	+	-	+	-	+	-	-	-	-	-	-	0	0	+
p͡t	-	+	-	-	-	-	-	-	0	0	0	0	-	-	-	0	+	+	-	+	-	+	-	-	-	-	-	-	0	0	+
q	-	+	-	-	-	-	-	-	-	+	-	-	-	-	-	0	-	-	+	0	0	0	-	-	-	-	-	-	0	0	+
qχ	-	+	-	-	-	+	-	-	-	+	-	-	-	-	-	0	-	-	+	0	0	0	-	-	-	-	-	-	0	0	+
q͡χ	-	+	-	-	-	+	-	-	-	+	-	-	-	-	-	0	-	-	+	0	0	0	-	-	-	-	-	-	0	0	+
r	-	+	+	+	+	0	+	-	0	0	0	0	-	-	-	0	-	+	-	+	-	-	-	-	-	+	-	-	0	0	+
ʀ	-	+	+	+	+	0	+	-	-	+	-	-	-	-	-	0	-	-	+	0	0	0	-	-	-	+	-	-	0	0	+
ɽ	-	+	+	+	+	0	-	+	0	0	0	0	-	-	-	0	-	+	-	-	-	-	-	-	-	+	-	-	0	0	+
r̥	-	+	+	+	+	0	+	-	0	0	0	0	-	-	-	0	-	+	-	+	-	-	-	-	-	-	-	-	0	0	+
ʀ̥	-	+	+	+	+	0	+	-	-	+	-	-	-	-	-	0	-	-	+	0	0	0	-	-	-	-	-	-	0	0	+
ɹ	-	-	+	+	+	0	-	-	0	0	0	0	-	-	-	0	-	+	-	-	+	-	-	-	-	+	-	-	0	0	+
ɺ	-	+	+	+	+	0	-	+	0	0	0	0	-	-	-	0	-	+	-	+	-	-	+	-	-	+	-	-	0	0	+
ɻ	-	+	+	+	+	0	-	-	0	0	0	0	-	-	-	0	-	+	-	-	-	-	-	-	-	+	-	-	0	0	+
ɾ	-	+	+	+	+	0	-	+	0	0	0	0	-	-	-	0	-	+	-	+	-	-	-	-	-	+	-	-	0	0	+
ʁ	-	+	-	-	+	+	-	-	-	+	-	-	-	-	-	0	-	-	+	0	0	0	-	-	-	+	-	-	0	0	+
ɽ̥	-	+	+	+	+	0	-	+	0	0	0	0	-	-	-	0	-	+	-	-	-	-	-	-	-	-	-	-	0	0	+
ɹ̥	-	+	+	+	+	0	-	-	0	0	0	0	-	-	-	0	-	+	-	-	+	-	-	-	-	-	-	-	0	0	+
ɺ̥	-	+	+	+	+	0	-	+	0	0	0	0	-	-	-	0	-	+	-	+	-	-	+	-	-	-	-	-	0	0	+
ɻ̥	-	+	+	+	+	0	-	-	0	0	0	0	-	-	-	0	-	+	-	-	-	-	-	-	-	-	-	-	0	0	+
ɾ̥	-	+	+	+	+	0	-	+	0	0	0	0	-	-	-	0	-	+	-	+	-	-	-	-	-	-	-	-	0	0	+
ʁ̥	-	+	-	-	+	+	-	-	-	+	-	-	-	-	-	0	-	-	+	0	0	0	-	-	-	-	-	-	0	0	+
s	-	+	-	-	+	+	-	-	0	0	0	0	-	-	-	0	-	+	-	+	-	+	-	-	-	-	-	-	0	0	+
ʂ	-	+	-	-	+	+	-	-	0	0	0	0	-	-	-	0	-	+	-	-	-	+	-	-	-	-	-	-	0	0	+
ʃ	-	+	-	-	+	+	-	-	0	0	0	0	-	-	-	0	-	+	-	-	+	+	-	-	-	-	-	-	0	0	+
t	-	+	-	-	-	-	-	-	0	0	0	0	-	-	-	0	-	+	-	+	-	-	-	-	-	-	-	-	0	0	+
tʼ	-	+	-	-	-	-	-	-	0	0	0	0	-	-	-	0	-	+	-	+	-	-	-	-	-	-	-	+	0	0	+
ʈ	-	+	-	-	-	-	-	-	0	0	0	0	-	-	-	0	-	+	-	-	-	-	-	-	-	-	-	-	0	0	+
ʧ	-	+	-	-	-	+	-	-	0	0	0	0	-	-	-	0	-	+	-	-	+	+	-	-	-	-	-	-	0	0	+
tɕ	-	+	-	-	-	+	-	-	+	-	+	-	-	-	-	0	-	+	+	+	+	+	-	-	-	-	-	-	0	0	+
t͡ɕ	-	+	-	-	-	+	-	-	+	-	+	-	-	-	-	0	-	+	+	+	+	+	-	-	-	-	-	-	0	0	+
tʰ	-	+	-	-	-	-	-	-	0	0	0	0	-	-	-	0	-	+	-	+	-	-	-	-	-	-	+	-	0	0	+
tɬ	-	+	-	-	-	+	-	-	0	0	0	0	-	-	-	0	-	+	-	+	-	-	+	-	-	-	-	-	0	0	+
t͡ɬ	-	+	-	-	-	+	-	-	0	0	0	0	-	-	-	0	-	+	-	+	-	-	+	-	-	-	-	-	0	0	+
t̠ɬ̠	-	+	-	-	-	+	-	-	0	0	0	0	-	-	-	0	-	+	-	-	+	-	+	-	-	-	-	-	0	0	+
t̪ɬ̪	-	+	-	-	-	+	-	-	0	0	0	0	-	-	-	0	-	+	-	+	+	-	+	-	-	-	-	-	0	0	+
t̠͡ɬ̠	-	+	-	-	-	+	-	-	0	0	0	0	-	-	-	0	-	+	-	-	+	-	+	-	-	-	-	-	0	0	+
t̪͡ɬ̪	-	+	-	-	-	+	-	-	0	0	0	0	-	-	-	0	-	+	-	+	+	-	+	-	-	-	-	-	0	0	+
ts	-	+	-	-	-	+	-	-	0	0	0	0	-	-	-	0	-	+	-	+	-	+	-	-	-	-	-	-	0	0	+
tʃ	-	+	-	-	-	+	-	-	0	0	0	0	-	-	-	0	-	+	-	-	+	+	-	-	-	-	-	-	0	0	+
t͡s	-	+	-	-	-	+	-	-	0	0	0	0	-	-	-	0	-	+	-	+	-	+	-	-	-	-	-	-	0	0	+
