experiment,trial,item_type,form,meaning
22,6,trial,noroi,SLOW
22,7,trial,futoi,THICK|FAT
22,8,trial,tyiQtyai,SMALL|LITTLE|TINY
22,9,trial,karui,LIGHT|AIRY
22,10,trial,gomeku,CRY|WAIL
22,11,trial,kaku,SCRATCH
22,12,control,katai,HARD
22,13,control,pyoNpyoN,BOUNCING|HOPPING
22,14,control,hisohiso,WHISPERING
23,1,practice,yoroyoro,WOBBLING
23,2,practice,fuwafuwa,FLUFFY
23,3,trial,oQkanai,SCARY|FRIGHTENING
23,4,trial,syikusyiku,WATERY (EYES)|BLEARY (EYES)
23,5,trial,tyikutyiku,ITCHING|PRICKLING
23,6,trial,pokapoka,WARM
23,7,trial,atsui,HOT
23,8,trial,iraira,PRICKLING|TINGLING
23,9,trial,oodoona,RUDE|ARROGANT|BRAZEN
23,10,trial,biNbogena,SCRUFFY|TATTY|RAGGEDY
23,11,trial,kubiru,BIND|TIGHTEN
23,12,control,katai,HARD
23,13,control,pyoNpyoN,BOUNCING|HOPPING
23,14,control,hisohiso,WHISPERING
24,1,practice,yoroyoro,WOBBLING
24,2,practice,fuwafuwa,FLUFFY
24,3,trial,kutakuta,EXHAUSTED|TIRED|WEARY
24,4,trial,amai,SWEET
24,5,trial,hosoi,SMALL|LITTLE|TINY
24,6,trial,gatagata,SHAKING|TREMBLING
24,7,trial,tataku,RAP (at the door)|KNOCK (at the door)
24,8,trial,tyikutyiku,CRAMPING (e.g. in stomach)|SPASMING (e.g. in stomach)
24,9,trial,igai,BIG|MASSIVE|LARGE|HUGE
24,10,trial,hiroi,SPACIOUS|WIDE
24,11,trial,kukuru,BIND|TIGHTEN
24,12,control,katai,HARD
24,13,control,pyoNpyoN,BOUNCING|HOPPING
24,14,control,hisohiso,WHISPERING
25,1,practice,yoroyoro,WOBBLING
25,2,practice,fuwafuwa,FLUFFY
25,3,trial,yaQkoi,SOFT|SQUISHY
25,4,trial,syimiru,FREEZE
25,5,trial,zyireQtai,ANNOYED|IMPATIENT
25,6,trial,mabusyii,GLARING (light)|BLINDING (light)|DAZZLING
25,7,trial,syobosyobo,WATERY (EYES)|BLEARY (EYES)
25,8,trial,zyukuzyuku,OOZING|DRIBBLING|SEEPING OUT (e.g. liquid)
25,9,trial,nigiyaka,LOUD|NOISY
25,10,trial,hagai,ANNOYED|IMPATIENT
25,11,trial,deQkai,ROUGH|GRITTY|COARSE
25,12,control,katai,HARD
25,13,control,pyoNpyoN,BOUNCING|HOPPING
25,14,control,hisohiso,WHISPERING
